surah,ayah,page,word_count
4,145,101,11
4,146,101,18
4,147,101,11
4,148,102,14
4,149,102,14
4,150,102,22
4,151,102,8
4,152,102,17
4,153,102,37
4,154,102,19
4,155,103,22
4,156,103,6
4,157,103,34
4,158,103,8
4,159,103,14
4,160,103,14
4,161,103,14
4,162,103,26
4,163,104,25
4,164,104,14
4,165,104,15
4,166,104,13
4,167,104,11
4,168,104,12
4,169,104,11
4,170,104,23
4,171,105,53
4,172,105,18
4,173,105,26
4,174,105,11
4,175,105,15
4,176,106,50
5,1,106,23
5,2,106,52
5,3,107,61
5,4,107,31
5,5,107,43
5,6,108,61
5,7,108,19
5,8,108,26
5,9,108,10
5,10,109,7
5,11,109,23
5,12,109,45
5,13,109,32
5,14,110,25
5,15,110,23
5,16,110,18
5,17,110,42
